Datos Medidos,Datos Predichos
44,45
43,44
46,43
43,46
44,43
42,44
42,42
39,42
42,39
43,42
42,43
40,42
40,40
40,40
41,40
39,41
41,39
41,41
39,41
39,39
40,39
39,40
40,39
39,40
39,39
39,39
40,39
39,40
39,39
40,39
39,40
39,39
37,39
41,37
39,41
38,39
40,38
40,40
40,40
41,40
41,41
41,41
41,41
42,41
42,42
41,42
43,41
42,43
45,42
42,45
39,42
40,39
39,40
39,39
37,39
39,37
38,39
40,38
40,40
39,40
41,39
41,41
39,41
40,39
38,40
38,38
40,38
40,40
43,40
41,43
41,41
41,41
41,41
42,41
39,42
39,39
40,39
39,40
39,39
41,39
39,41
38,39
41,38
41,41
42,41
43,42
42,43
41,42
40,41
41,40
40,41
40,40
39,40
40,39
41,40
40,41
40,40
39,40
36,39
36,36
38,36
39,38
38,39
39,38
38,39
37,38
38,37
39,38
38,39
39,38
37,39
38,37
40,38
41,40
40,41
42,40
41,42
41,41
40,41
39,40
40,39
39,40
40,39
38,40
38,38
40,38
39,40
39,39
38,39
40,38
38,40
37,38
39,37
38,39
38,38
37,38
38,37
38,38
39,38
40,39
39,40
39,39
38,39
38,38
39,38
38,39
37,38
38,37
37,38
39,37
39,39
37,39
38,37
39,38
38,39
37,38
38,37
38,38
39,38
38,39
38,38
37,38
38,37
38,38
39,38
38,39
39,38
39,39
38,39
38,38
37,38
36,37
37,36
36,37
37,36
37,37
37,37
39,37
62,39
56,62
61,56
81,61
67,81
47,67
42,47
42,42
40,42
41,40
40,41
41,40
43,41
40,43
43,40
41,43
40,41
40,40
41,40
41,41
39,41
38,39
39,38
37,39
40,37
39,40
40,39
39,40
41,39
39,41
39,39
41,39
39,41
40,39
39,40
39,39
39,39
40,39
41,40
41,41
40,41
39,40
40,39
37,40
38,37
38,38
39,38
37,39
37,37
39,37
37,39
38,37
39,38
39,39
39,39
39,39
40,39
40,40
42,40
39,42
37,39
36,37
35,36
38,35
35,38
37,35
37,37
36,37
35,36
37,35
38,37
36,38
37,36
37,37
36,37
36,36
36,36
37,36
39,37
38,39
38,38
39,38
38,39
39,38
37,39
39,37
36,39
38,36
42,38
39,42
40,39
42,40
40,42
39,40
40,39
39,40
40,39
38,40
37,38
39,37
42,39
39,42
39,39
40,39
36,40
38,36
61,38
37,61
37,37
37,37
35,37
38,35
39,38
37,39
37,37
37,37
38,37
38,38
39,38
37,39
36,37
37,36
36,37
38,36
37,38
39,37
38,39
38,38
38,38
37,38
39,37
41,39
82,41
41,82
41,41
39,41
39,39
39,39
40,39
38,40
40,38
40,40
39,40
39,39
37,39
37,37
38,37
37,38
38,37
38,38
37,38
36,37
38,36
40,38
37,40
36,37
36,36
38,36
37,38
36,37
37,36
36,37
38,36
36,38
38,36
35,38
39,35
38,39
39,38
37,39
36,37
36,36
38,36
37,38
37,37
38,37
39,38
36,39
37,36
39,37
38,39
37,38
36,37
38,36
38,38
35,38
36,35
38,36
36,38
39,36
38,39
39,38
39,39
41,39
39,41
40,39
40,40
41,40
38,41
39,38
38,39
38,38
39,38
38,39
38,38
39,38
39,39
36,39
37,36
38,37
36,38
34,36
39,34
38,39
41,38
42,41
49,42
61,49
58,61
62,58
54,62
53,54
48,53
41,48
38,41
45,38
52,45
43,52
40,43
39,40
44,39
41,44
39,41
39,39
39,39
39,39
39,39
40,39
39,40
39,39
39,39
41,39
41,41
41,41
39,41
42,39
39,42
40,39
39,40
39,39
41,39
39,41
39,39
41,39
41,41
39,41
39,39
39,39
40,39
40,40
40,40
39,40
39,39
40,39
42,40
40,42
40,40
40,40
41,40
40,41
45,40
38,45
37,38
37,37
72,37
37,72
37,37
39,37
39,39
38,39
38,38
39,38
37,39
39,37
37,39
41,37
40,41
39,40
39,39
40,39
41,40
39,41
39,39
41,39
67,41
39,67
39,39
37,39
71,37
37,71
38,37
37,38
40,37
41,40
39,41
38,39
39,38
40,39
38,40
40,38
38,40
38,38
39,38
41,39
39,41
39,39
39,39
40,39
37,40
43,37
37,43
35,37
36,35
40,36
40,40
39,40
42,39
40,42
42,40
39,42
40,39
39,40
39,39
41,39
40,41
42,40
41,42
40,41
42,40
41,42
41,41
40,41
41,40
39,41
38,39
38,38
40,38
39,40
39,39
38,39
38,38
39,38
38,39
40,38
39,40
42,39
60,42
62,60
44,62
40,44
40,40
39,40
38,39
38,38
37,38
40,37
42,40
41,42
43,41
40,43
39,40
40,39
51,40
39,51
41,39
40,41
40,40
37,40
40,37
40,40
39,40
39,39
40,39
40,40
41,40
40,41
38,40
39,38
39,39
38,39
40,38
41,40
39,41
39,39
40,39
40,40
40,40
41,40
40,41
37,40
40,37
38,40
39,38
37,39
37,37
36,37
38,36
38,38
40,38
38,40
39,38
38,39
39,38
38,39
38,38
38,38
38,38
39,38
41,39
39,41
40,39
39,40
38,39
37,38
38,37
39,38
39,39
39,39
41,39
40,41
38,40
39,38
39,39
39,39
39,39
38,39
38,38
40,38
40,40
40,40
40,40
39,40
39,39
39,39
40,39
39,40
39,39
41,39
40,41
39,40
39,39
40,39
40,40
41,40
42,41
41,42
40,41
40,40
38,40
38,38
38,38
38,38
35,38
38,35
38,38
40,38
38,40
39,38
41,39
41,41
40,41
41,40
40,41
39,40
42,39
42,42
43,42
44,43
45,44
42,45
43,42
41,43
39,41
40,39
41,40
39,41
38,39
40,38
39,40
37,39
40,37
39,40
40,39
40,40
40,40
39,40
42,39
39,42
42,39
42,42
42,42
41,42
42,41
41,42
41,41
40,41
56,40
43,56
51,43
39,51
42,39
40,42
41,40
41,41
40,41
65,40
40,65
40,40
41,40
40,41
41,40
39,41
38,39
40,38
40,40
39,40
39,39
40,39
41,40
39,41
63,39
40,63
39,40
38,39
39,38
39,39
41,39
40,41
42,40
39,42
40,39
39,40
43,39
45,43
43,45
42,43
41,42
49,41
43,49
38,43
40,38
40,40
41,40
41,41
40,41
42,40
40,42
41,40
41,41
42,41
40,42
40,40
42,40
44,42
41,44
43,41
44,43
44,44
43,44
43,43
44,43
45,44
45,45
80,45
42,80
44,42
41,44
44,41
56,44
43,56
39,43
41,39
40,41
41,40
37,41
60,37
39,60
41,39
43,41
39,43
41,39
40,41
41,40
42,41
42,42
41,42
41,41
41,41
40,41
44,40
42,44
40,42
39,40
37,39
40,37
41,40
38,41
38,38
38,38
37,38
35,37
37,35
38,37
37,38
39,37
38,39
38,38
39,38
39,39
37,39
38,37
38,38
37,38
36,37
48,36
39,48
39,39
37,39
38,37
37,38
37,37
37,37
41,37
41,41
37,41
36,37
37,36
38,37
40,38
40,40
41,40
39,41
39,39
39,39
38,39
38,38
43,38
46,43
41,46
39,41
37,39
39,37
59,39
39,59
39,39
41,39
41,41
39,41
37,39
40,37
39,40
40,39
41,40
40,41
40,40
41,40
36,41
39,36
39,39
41,39
45,41
43,45
44,43
47,44
46,47
45,46
42,45
39,42
42,39
42,42
48,42
44,48
45,44
46,45
58,46
72,58
53,72
66,53
86,66
75,86
49,75
43,49
40,43
39,40
39,39
40,39
40,40
40,40
38,40
39,38
68,39
39,68
39,39
38,39
38,38
38,38
40,38
40,40
38,40
41,38
41,41
40,41
41,40
39,41
39,39
40,39
40,40
40,40
40,40
40,40
39,40
38,39
37,38
39,37
39,39
38,39
38,38
37,38
37,37
39,37
38,39
38,38
37,38
38,37
38,38
38,38
38,38
37,38
39,37
40,39
35,40
36,35
36,36
38,36
36,38
37,36
37,37
36,37
37,36
38,37
38,38
38,38
37,38
37,37
36,37
38,36
37,38
37,37
37,37
39,37
36,39
38,36
38,38
38,38
38,38
39,38
38,39
38,38
40,38
61,40
37,61
37,37
39,37
39,39
39,39
38,39
41,38
39,41
39,39
40,39
41,40
39,41
39,39
41,39
41,41
40,41
39,40
39,39
40,39
40,40
37,40
40,37
39,40
39,39
42,39
39,42
41,39
41,41
43,41
45,43
40,45
41,40
39,41
42,39
41,42
40,41
39,40
40,39
42,40
40,42
39,40
38,39
39,38
39,39
39,39
40,39
40,40
39,40
39,39
38,39
37,38
37,37
37,37
38,37
38,38
36,38
37,36
39,37
39,39
39,39
41,39
39,41
37,39
39,37
39,39
38,39
36,38
39,36
37,39
36,37
36,36
35,36
39,35
38,39
37,38
40,37
42,40
40,42
40,40
39,40
40,39
38,40
40,38
37,40
39,37
42,39
39,42
36,39
38,36
38,38
40,38
46,40
45,46
40,45
39,40
38,39
39,38
39,39
39,39
39,39
39,39
40,39
42,40
47,42
50,47
46,50
47,46
42,47
39,42
37,39
39,37
39,39
37,39
37,37
47,37
50,47
45,50
49,45
62,49
52,62
41,52
38,41
36,38
36,36
35,36
35,35
38,35
39,38
36,39
36,36
37,36
35,37
37,35
37,37
36,37
37,36
40,37
47,40
47,47
47,47
44,47
61,44
44,61
66,44
40,66
40,40
40,40
38,40
39,38
38,39
40,38
40,40
39,40
40,39
38,40
38,38
37,38
36,37
37,36
38,37
37,38
37,37
38,37
38,38
40,38
40,40
38,40
40,38
38,40
38,38
36,38
37,36
38,37
38,38
39,38
42,39
38,42
43,38
41,43
41,41
45,41
38,45
39,38
45,39
41,45
42,41
46,42
51,46
48,51
46,48
40,46
41,40
42,41
38,42
38,38
42,38
41,42
39,41
40,39
40,40
40,40
42,40
43,42
46,43
48,46
50,48
52,50
53,52
53,53
43,53
36,43
39,36
39,39
39,39
46,39
45,46
40,45
38,40
39,38
40,39
38,40
41,38
39,41
38,39
40,38
38,40
38,38
39,38
41,39
40,41
49,40
49,49
49,49
41,49
43,41
44,43
43,44
46,43
47,46
46,47
42,46
37,42
46,37
44,46
40,44
39,40
46,39
41,46
42,41
39,42
39,39
39,39
42,39
51,42
47,51
39,47
44,39
42,44
51,42
47,51
45,47
47,45
45,47
39,45
38,39
39,38
40,39
40,40
39,40
39,39
40,39
39,40
43,39
43,43
46,43
64,46
42,64
50,42
47,50
50,47
46,50
52,46
51,52
51,51
49,51
42,49
47,42
48,47
44,48
45,44
45,45
43,45
50,43
47,50
50,47
52,50
51,52
42,51
56,42
50,56
53,50
54,53
47,54
44,47
45,44
37,45
42,37
49,42
46,49
51,46
49,51
48,49
45,48
42,45
48,42
47,48
51,47
49,51
48,49
64,48
55,64
42,55
66,42
65,66
63,65
58,63
52,58
45,52
42,45
47,42
52,47
57,52
52,57
49,52
49,49
44,49
40,44
46,40
45,46
47,45
46,47
45,46
41,45
40,41
43,40
59,43
59,59
47,59
47,47
44,47
36,44
35,36
37,35
36,37
40,36
42,40
35,42
36,35
56,36
73,56
71,73
76,71
71,76
78,71
77,78
76,77
76,76
70,76
74,70
36,74
36,36
37,36
38,37
36,38
35,36
36,35
36,36
35,36
36,35
36,36
37,36
37,37
37,37
38,37
38,38
39,38
38,39
38,38
39,38
36,39
38,36
38,38
38,38
39,38
39,39
40,39
38,40
37,38
40,37
37,40
38,37
39,38
38,39
37,38
38,37
36,38
37,36
37,37
37,37
39,37
37,39
39,37
37,39
39,37
37,39
40,37
39,40
37,39
38,37
38,38
40,38
46,40
42,46
44,42
40,44
37,40
34,37
38,34
39,38
40,39
36,40
36,36
39,36
37,39
37,37
38,37
38,38
36,38
41,36
41,41
43,41
37,43
45,37
50,45
37,50
40,37
37,40
38,37
38,38
36,38
39,36
40,39
40,40
39,40
37,39
39,37
37,39
39,37
37,39
38,37
39,38
37,39
39,37
39,39
39,39
40,39
38,40
38,38
39,38
34,39
36,34
35,36
33,35
36,33
37,36
36,37
38,36
42,38
38,42
36,38
37,36
37,37
38,37
38,38
38,38
37,38
37,37
38,37
39,38
40,39
39,40
35,39
37,35
37,37
38,37
38,38
39,38
38,39
38,38
38,38
38,38
40,38
38,40
37,38
39,37
37,39
39,37
37,39
37,37
39,37
37,39
38,37
40,38
37,40
38,37
38,38
38,38
40,38
40,40
38,40
39,38
38,39
37,38
40,37
37,40
37,37
40,37
38,40
40,38
39,40
39,39
36,39
38,36
36,38
38,36
37,38
38,37
38,38
36,38
39,36
38,39
37,38
37,37
38,37
36,38
39,36
38,39
37,38
37,37
38,37
37,38
37,37
37,37
38,37
38,38
39,38
37,39
37,37
37,37
37,37
37,37
36,37
38,36
36,38
37,36
37,37
38,37
39,38
38,39
38,38
40,38
37,40
36,37
37,36
40,37
38,40
38,38
35,38
38,35
37,38
38,37
36,38
38,36
39,38
40,39
41,40
41,41
43,41
40,43
40,40
40,40
38,40
37,38
38,37
37,38
37,37
38,37
38,38
38,38
38,38
38,38
40,38
38,40
37,38
40,37
42,40
37,42
39,37
41,39
39,41
40,39
40,40
,40
